,S/N,Date/Day,1st,2nd,3rd,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol
,37,25 Oct 2000 (Wed),8694,3679,8584,9814,1859,2267,2743,3148,4592,4786,2397,7880,9572,8897,8176,3273,8966,0749,2191,3364,4191,8027,8059
,38,28 Oct 2000 (Sat),2766,4686,4493,8730,8598,9790,0356,1734,7295,7342,7979,8249,4680,5371,7250,6792,0797,1457,1824,2272,2941,4537,5708
,39,29 Oct 2000 (Sun),8788,8477,1107,0201,7870,1408,1764,4462,5874,2457,2064,4228,5278,8014,8311,5307,4020,2845,7485,1361,1164,0631,2491
,40,01 Nov 2000 (Wed),7828,2357,6754,6819,2208,0246,3775,4927,4980,6399,6525,7164,4863,6348,6413,6751,9843,8069,9585,8225,6605,3189,5770
,41,04 Nov 2000 (Sat),6589,6570,7191,7467,8634,8411,0150,0281,3813,6020,6698,6897,4903,4913,5032,5550,9836,6836,0391,5996,7872,2009,4698
,42,05 Nov 2000 (Sun),3256,7863,3843,3550,8282,9272,9092,0282,1399,1576,4296,4491,7919,1280,1286,2387,2554,4555,7286,9372,0969,5527,8921
,43,08 Nov 2000 (Wed),0700,1340,7072,5468,8175,6179,9857,5778,0931,1374,2155,3633,4361,7081,1113,2423,4833,8803,6840,7336,8885,6243,9221
,44,11 Nov 2000 (Sat),7182,8950,6272,3249,4028,4211,2980,8531,7500,0715,0727,7234,3050,5515,1559,2874,3596,4056,6313,6443,6614,8094,8182
,45,12 Nov 2000 (Sun),3260,7079,2165,3574,4287,4342,5359,6462,8748,2715,6708,0531,3566,0453,0611,1438,1644,2368,4270,7634,6460,7005,6203
,46,15 Nov 2000 (Wed),6565,7970,5812,2419,2535,2606,3141,3267,3448,5446,1105,8151,6468,3308,0000,0190,0583,1685,3522,3700,6368,7592,7305
,47,18 Nov 2000 (Sat),0939,9509,9706,0459,0596,1823,5955,8011,9871,3576,9338,8970,0297,0500,4868,1785,2035,3354,5746,6147,6571,8080,8106
,48,19 Nov 2000 (Sun),7517,2786,5254,7753,0524,2132,3281,3285,3722,4026,6339,8051,0968,9639,0376,2898,3075,5694,7486,8246,8850,9388,8306
,49,22 Nov 2000 (Wed),4875,9770,1332,0238,9582,8191,0957,3622,3944,5188,5668,5678,5793,6719,2990,0116,1313,1358,2475,3311,4505,5401,7492
,50,25 Nov 2000 (Sat),4073,2789,1976,1179,8369,0352,1952,3045,4617,4825,5717,6252,8419,9758,7483,3047,1612,2136,2922,3174,5430,5494,7131
,51,26 Nov 2000 (Sun),8201,3386,7574,6824,1047,9659,7847,0505,3896,4016,4219,5171,6002,8711,8838,8877,3197,0740,1059,2538,2649,3793,7755
,52,29 Nov 2000 (Wed),7878,4797,0540,8343,1022,8402,8417,1403,1578,1762,5360,6128,6533,2987,8340,9039,8966,1377,0254,9279,0356,1359,2870
,53,02 Dec 2000 (Sat),2996,6865,6478,8004,9323,6430,0335,1761,1895,2110,3798,5107,8689,3833,4345,4558,6509,7349,7304,9289,3555,3019,3146
,54,03 Dec 2000 (Sun),6344,7112,0284,8632,5930,0075,1844,2560,5868,6706,6168,7531,8572,7661,5812,6042,0533,7956,2359,9882,1643,2568,2174
,55,06 Dec 2000 (Wed),8348,6999,5397,8721,2433,8406,0234,3066,3126,4248,4270,4960,7510,1232,1539,4852,6715,7620,8390,8755,8819,8683,8951
,56,09 Dec 2000 (Sat),0559,9152,4456,7016,7274,8484,0334,9815,9415,1510,2941,3281,6384,3990,0523,0795,1891,3947,4338,6519,7675,9910,9010
,57,10 Dec 2000 (Sun),4729,9206,5680,7258,7694,9655,3085,8193,8248,1605,2627,3052,5566,1258,5303,2313,3592,4152,8385,9179,9183,9667,9983
,58,13 Dec 2000 (Wed),6998,6374,3115,1918,2038,3410,4315,8253,9646,1543,9275,0146,1840,0152,1125,1314,2219,2296,4293,7587,7040,7279,5643
,59,16 Dec 2000 (Sat),2341,3746,2975,1519,2135,2410,2909,3385,4838,4975,1359,8055,6281,2463,1542,1899,1962,2181,5723,6872,7344,8962,7788
,60,17 Dec 2000 (Sun),6459,4687,9790,7662,6582,1717,7456,7908,2481,8885,3725,8282,9329,9438,8186,7489,7830,5701,3190,4360,7421,7681,9031
,61,20 Dec 2000 (Wed),5847,5449,2927,8191,1015,1616,4258,4524,5315,6714,7339,9243,1425,9711,2543,3923,5992,6514,7171,7632,9147,9671,8172
,62,23 Dec 2000 (Sat),2676,1269,3010,6825,0099,9097,7211,0389,0400,1698,3127,3700,5605,7865,5875,1693,2370,5378,5508,6102,6449,7686,9379
,63,24 Dec 2000 (Sun),3654,1151,6189,1536,8114,0642,2941,4129,4281,4373,6001,6136,8922,9527,8570,3065,0295,1884,2365,4043,5147,5536,5753
,64,27 Dec 2000 (Wed),4772,7488,8349,7940,2790,9257,9049,1869,4208,5820,7041,7354,7765,5896,6318,9208,1248,0175,0854,1117,1180,4993,5310
,65,30 Dec 2000 (Sat),4858,9492,8658,7320,0987,9540,9849,1072,1772,2462,4469,5330,6027,4586,4898,6831,8037,7256,3400,0576,9006,1612,3352
,66,31 Dec 2000 (Sun),5858,3304,5551,7959,0119,9730,9303,1092,1694,3017,3038,4647,6670,4374,4716,5479,7168,9511,9225,3850,0686,2820,3538
,67,03 Jan 2001 (Wed),5695,8840,2086,6607,0607,2509,3241,5005,5179,6361,3096,6411,7215,9088,2712,2133,5084,5827,7297,7317,7991,3957,4585
,68,06 Jan 2001 (Sat),4785,8151,1364,9264,1468,6720,1409,2012,2156,3299,3633,4688,4906,8122,0993,2177,2186,2966,4939,6091,7144,7603,6422
